songs.id,songs.title,songs.artist
254,Nuestro Juramento,Benito De Jesus
255,Adios a Jamaica,Bergess - Cisneros
256,A Tu Recuerdo,Bieza Ramirez Pedreros
257,Just the Way You Are,Billie Joel
258,Uptown Girl,Billie Joel
259,No Rompas Mi Corazon,Billy Ray
260,Don't Fear the Reaper,Blue Oyster Cult
261,Cant Take My Eyes Off of You,Bob Crewe
262,La Ultima Noche,Bobby Collazo
263,Yo Se Que Te Acordaras,Brios, Los
264,Maybe Baby,Buddy Holly
265,Falso Amor,Bukis, Los
266,Verano Peligroso,C. Valle
267,La Ingrata,Café Tacuba
268,Lagrimas Negras,Calaveras, Los
269,Todo Cambio,Camila
270,Si Tu Te Vas,Camilo Sesto
271,Donde Estes,Con Quien Estes,Camilo Sesto
272,Has Nacido Libre,Camilo Sesto
273,Quieres Ser Mi Amante,Camilo Sesto
274,Con el Viento a Tu Favor,Camilo Sesto
275,Has Nacido Libre,Camilo Sesto
276,Mi Buen Amor,Camilo Sesto
277,Si Tu Te Vas,Camilo Sesto
278,Callados,Camilo Sesto
279,Macondo,Camino Diez Canseco
280,Colgando En Tus Manos,Carlos Baute & Marta Sanchez
281,Veronica,Carlos Blanco
282,Cuesta Abajo,Carlos Gardel
283,Por Una Cabeza,Carlos Gardel
284,Mano a Mano,Carlos Gardel
285,Desde la Trinchera,Carlos Lara
286,Y Se Que Vas a Llorar,Carlos Maria
287,Rondando Tu Esquina,Carlos Perez
288,Solo Tu,Carlos Toro
289,Fruta Fresca,Carlos Vives
290,La Gota Fria,Carlos Vives
291,Puente De Piedra,CarmELO Larrea
292,El Toro y la Luna,Castellanos Gomez
293,Historia De Tommy,Cesar Costa
294,Contigo En la Distancia,Cesar Portillo
295,Delirio,Cesar Portillo
296,Fina Estampa,Chabuca Granda
297,De Quererte Asi,Charles Aznavour
298,A Que Le Tiras Cuando Suenas Mexicano,Chava Flores
299,Cerro Sus Ojitos Cleto,Chava Flores
300,El Gato Viudo,Chava Flores
301,Ingrata Perjida,Chava Flores
302,La Bartola,Chava Flores
303,La Interesada,Chava Flores
304,La Tertulia,Chava Flores
305,Las Bodas De Vecindad,Chava Flores
306,Los Gorrones,Chava Flores
307,Los Quince Aos De Espergencia,Chava Flores
308,Sabado Distrito Federal,Chava Flores
309,Voy En el Metro,Chava Flores
310,Dejaria Todo,Chayanne
311,Salome,Chayanne
312,Boom Boom,Chayanne
313,Atado a Tu Amor,Chayanne
314,Cuidarte el Alma,Chayanne
315,Te Echo De Menos,Chayanne
316,Tengo Miedo,Chayanne
317,Si Nos Quedara Poco Tiempo,Chayanne
318,Si Tu Te Vas,Cheryl Yie
319,Puente De Piedra,Chicanos, Los
320,Debut y Despedida,Chico Navarro
321,Debut y Despedida,Chico Navarro
322,Como,Chico Novarro
323,Mi Vida Sin Tu Amor,Christian
324,Lloran las Rosas,Christian
325,Lo Mejor De Mi,Christian
326,Lloviendo Estrellas,Christian
327,Mañana,Christian
328,Azul,Christian
329,Vuelveme a Querer,Christian
330,Nunca Voy a Olvidarte,Christian
331,Agua Nueva,Christian
332,No Hace Falta,Christian
333,Por Amarte Asi,Christian
334,Vuelveme a Querer,Christian
335,Mi Vida Sin Tu Amor,Christian Castro
336,Por Amarte Asi,Christian Castro
337,Volver Amar,Christian Castro
338,Ven Conmigo,Christina Aguilera
339,Voice Within, The,Christina Aguilera
340,Como Antes,Cinco Latinos, Los
341,Sube Que Baja,Circulo, El
342,Acabame De Matar,Cirilo Castañeda
343,Una Mañana,Clare Fisher
344,Nunca Mas Podre Olvidarte,Clave Borlando Rabal
345,Mesa Que Mas Aplauda,Climax
346,La Faldita,Coco Band
347,Cada Vez Que Resuelles,Conjunto Oro
348,La Desicion,Conjunto Oro
349,Vete a Buscar Aquel,Conjunto Oro
350,El Ausente,ConsuELO Castro
351,Me Cai De la Nube,Cornelio Reyna
352,Corre,Corre - Flans
353,Una Noche,Corrs-Alejandro Sanz, The
354,Cuanto Te Amo,Costumbre
355,Esperare,Costumbre
356,Siluetas,Crewel - Lugo
357,Tema De Cricri Entrada,Cricri
358,El Negrito Bailarin,Cricri
359,Caminito De la Escuela,Cricri
360,Negrito Sandia,Cricri
361,El Chorrito,Cricri
362,Bombon 1,Cricri
363,La Merienda,Cricri
364,Raton Vaquero,Cricri
365,Di Por Que?,Cricri
366,La Negrita Cucurumbe,Cricri
367,La Patita,Cricri
368,Marcha De las Letras,Cricri
369,El Comal y la Olla,Cricri
370,El Ropero,Cricri
371,La Muñeca Fea,Cricri
372,El Ropavejero,Cricri
373,Tema De Cricri Salida,Cricri
374,Amor,Cristian
375,El Pastor,Cuates Castilla
376,Cuando Ya No Me Quieras,Cuates Castilla
377,Anillo De Compromiso,Cuco Sanchez
378,Gritenme Piedras del Campo,Cuco Sanchez
379,Pobre del Pobre,Cuco Sanchez
380,Fallaste Corazon,Cuco Sanchez
381,Anoche Estuve Llorando,Cuco Sanchez
382,No Soy Monedita De Oro,Cuco Sanchez
383,Que Manera De Perder,Cuco Sanchez
384,Fallaste Corazon,Cuco Sanchez
385,La Cama De Piedra,Cuco Sanchez
386,La Colegiala,Cumbia Colombiana
387,Holiday,Curtis Hudson
388,Recuerdos De Ipacarai,D. Ortiz
389,Swing Latino,D.A.R.
390,Mi Bella Sultana,D.A.R.
391,El Arca De Noe,D.A.R.
392,Tiro De Gracia,D.A.R.
393,Mi Gran Amor,D.A.R.
394,Como Este Loco,D.A.R.
395,A Mil X Hora,D.J. Kafka
396,Gasolina,Daddy Yankeen
397,Como Un Duende,Dandys, Los
398,Tres Regalos,Dandys, Los
399,Mi Amor Es Para Ti,Daniel Lopez
400,Mi Amor Es Para Ti,Daniel Lopez
401,Amada Mas Que Nunca,Daniela Romo
402,Yo No Te Pido la Luna,Daniela Romo
403,Mentiras,Daniela Romo
404,La Ocacion Para Amarnos,Daniela Romo
405,De Mi Enamorate,Daniela Romo
406,Yo No Te Pido la Luna,Daniela Romo
407,Declaracion De Amor,Danny
408,Madrigal,Danny Rivera
409,Buleria,David Bisbal
410,Oye el Boom,David Bisbal
411,Quien Me Iba A Decir,David Bisbal
412,Esta Ausencia,David Bisbal
413,Mi Pequeo Lucero,David Lee Garza
414,Como Camaron,David Muñoz
415,Temblando,David Summers
416,La Cumbia del Garrote,Del Garrote, Los
417,Hoy Ten Miedo De Mi,Delgadillo
418,Hacer el Amor Con Otro,Di Felisatti
419,I Will Survive,Dino Fekaris
420,Ella O Yo,Don Omar
421,Dale Don Dale,Don Omar
422,Dile,Don Omar
423,Tu Fotografia,Don Omar
